EventID,Timestamp,Username,IPAddress,Description
4624,2024-01-15 08:01:12,jsmith,192.168.10.5,Successful login
4625,2024-01-15 08:05:33,jsmith,192.168.10.5,Failed login attempt
4625,2024-01-15 08:05:35,jsmith,192.168.10.5,Failed login attempt
4625,2024-01-15 08:05:37,jsmith,192.168.10.5,Failed login attempt
4625,2024-01-15 08:05:39,jsmith,192.168.10.5,Failed login attempt
4625,2024-01-15 08:05:41,jsmith,192.168.10.5,Failed login attempt
4625,2024-01-15 08:05:43,jsmith,192.168.10.5,Failed login attempt
4624,2024-01-15 09:14:02,admin,192.168.10.10,Successful login
4720,2024-01-15 09:20:15,admin,192.168.10.10,New user account created: backdoor_user
4732,2024-01-15 09:21:44,admin,192.168.10.10,User added to Administrators group: backdoor_user
4625,2024-01-15 10:30:01,administrator,192.168.10.250,Failed login attempt
4625,2024-01-15 10:30:02,administrator,192.168.10.250,Failed login attempt
4625,2024-01-15 10:30:03,administrator,192.168.10.250,Failed login attempt
4625,2024-01-15 10:30:04,administrator,192.168.10.250,Failed login attempt
4625,2024-01-15 10:30:05,administrator,192.168.10.250,Failed login attempt
4625,2024-01-15 10:30:06,administrator,192.168.10.250,Failed login attempt
4624,2024-01-15 11:00:00,bwilliams,192.168.10.8,Successful login
4624,2024-01-15 12:30:00,bwilliams,192.168.10.8,Successful login
